stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000271,271,O'Connell Street Lower,,53.348596,-6.259485,,,,
8220DB000272,272,O'Connell Street Upper,,53.3514644798917,-6.26078060573293,,,,
8220DB000273,273,O'Connell Bridge,,53.347247,-6.258819,,,,
8220DB000274,274,O'Connell Street Upper,,53.3503490838222,-6.26072086862175,,,,
8220DB000276,276,River Road,,53.3774022009249,-6.33179658312856,,,,
8220DB000277,277,O'Connell Street Upper,,53.350822325818,-6.26050631978692,,,,
8220DB000278,278,O'Connell Street Upper,,53.351561,-6.261227,,,,
8220DB000279,279,O'Connell Street Upper,,53.350132,-6.26061,,,,
8220DB000281,281,O'Connell Street Upper,,53.3513435349588,-6.2611160084316,,,,
8220DB000284,284,Rathbourne Avenue,,53.3772826239301,-6.32838928381528,,,,
8220DB000286,286,Cathal Brugha Street,,53.352171,-6.259911,,,,
8220DB000288,288,Irish Life,,53.3491688123216,-6.25560170347437,,,,
8220DB000289,289,Abbey Street,,53.349035,-6.256298,,,,
8220DB000292,292,Abbey Street Lower,,53.3491996947616,-6.25525495938711,,,,
8220DB000297,297,Eden Quay,,53.3481432679358,-6.25677012601713,,,,
8220DB000298,298,Eden Quay,,53.3482006633743,-6.25639226781083,,,,
8220DB000299,299,Eden Quay,,53.3482418474457,-6.25613523566336,,,,
8220DB000300,300,Eden Quay,,53.348299,-6.255757,,,,
8220DB000301,301,Eden Quay,,53.3479883676,-6.25662624092325,,,,
8220DB000302,302,Eden Quay,,53.3480380961813,-6.2563388203753,,,,
8220DB000303,303,Eden Quay,,53.3480599980905,-6.25599245267006,,,,
8220DB000307,307,O'Donovan Road,,53.334577,-6.280087,,,,
8220DB000308,308,Oscar Square,,53.3367711889546,-6.27953365692407,,,,
8220DB000309,309,Ardee Street,,53.33784,-6.27895,,,,
8220DB000312,312,Wellington Quay,,53.3454764728264,-6.2662061554843,,,,
8220DB000315,315,Bachelors Walk,,53.347028,-6.261667,,,,
8220DB000316,316,Bachelors Walk,,53.346893,-6.262228,,,,
8220DB000317,317,Westmoreland Street,,53.3465259444496,-6.25926936624482,,,,
8220DB000318,318,Westmoreland Street,,53.3464177131169,-6.25924373595417,,,,
8220DB000319,319,Westmoreland Street,,53.34622,-6.25929,,,,
8220DB000320,320,Westmoreland Street,,53.3456456323889,-6.25930523253448,,,,
8220DB000325,325,Aston Quay,,53.3466970502533,-6.2599082595371,,,,
8220DB000328,328,Aston Quay,,53.346333,-6.26144,,,,
8220DB000329,329,Aston Quay,,53.346274,-6.261683,,,,
8220DB000330,330,Crampton Quay,,53.3461302083846,-6.2623345315749,,,,
8220DB000333,333,D'Olier Street,,53.3466922365908,-6.25834636399196,,,,
8220DB000334,334,D'Olier Street,,53.346581156205,-6.25812559112216,,,,
8220DB000335,335,D'Olier Street,,53.3463614054418,-6.25784917048538,,,,
8220DB000336,336,D'Olier Street,,53.3462516394294,-6.25771846673947,,,,
8220DB000339,339,Burgh Quay,,53.3472557290559,-6.2569265033488,,,,
8220DB000340,340,Townsend Street,,53.345975,-6.256017,,,,
8220DB000341,341,South Townsend Street,,53.345945,-6.256424,,,,
8220DB000342,342,College Street,,53.3455641183174,-6.25680026075817,,,,
8220DB000345,345,Pearse Street Garda Station,,53.345475815469,-6.2562931940713,,,,
8220DB000346,346,Pearse Street Garda Station,,53.3455443981649,-6.25668090763654,,,,
8220DB000350,350,Lombard Street East,,53.345632,-6.249768,,,,
8220DB000351,351,Erne Street,,53.3434182647907,-6.24530817378361,,,,
8220DB000352,352,Pearse Square,,53.342989,-6.242412,,,,
8220DB000353,353,Grand Canal Quay,,53.342645,-6.239798,,,,
8220DB000354,354,Ringsend Road,,53.3422358280174,-6.2364356898267,,,,
8220DB000355,355,Ringsend Depot,,53.341817,-6.233059,,,,
8220DB000356,356,Ringsend Village,,53.341903,-6.226717,,,,
8220DB000357,357,Irishtown Road,,53.339171,-6.223122,,,,
8220DB000358,358,Sean Moore Road,,53.339027,-6.21709,,,,
8220DB000369,369,Sean Moore Road,,53.34051,-6.21404,,,,
8220DB000371,371,Irishtown Road,,53.338613,-6.223055,,,,
8220DB000372,372,Star of the Sea,,53.3354881469499,-6.21965567144901,,,,
8220DB000373,373,Farney Park,,53.3342753312713,-6.21788927259654,,,,
8220DB000374,374,Sandymount,,53.3332284399006,-6.21640134211922,,,,
8220DB000375,375,Dromard Terrace,,53.3340611346518,-6.2143845130625,,,,
